date,window_start_et,window_end_et,ticker,total_posts,bullish,bearish,unlabeled,bullish_pct,bearish_pct,net_sentiment,sentiment_volatility,max_hourly_sentiment,min_hourly_sentiment,sentiment_range,largest_hourly_change,spillover_mentions_total,spillover_top_target,spillover_top_target_pct,mentions_earnings_count,mentions_options_count,has_link_count,mentions_chart_count,top_keywords_12
2026-02-02,2/2/2026 19:00,2/3/2026 19:00,AAPL,42,14,3,25,0.3333333333333333,0.071428571,0.2619047619047619,0.2207153773024837,0.6666666666666666,0.0,0.6666666666666666,0.4166666666666666,1,TSLA,1.0,11,3,2,0,STOCK|OUT|GOING|BACK|STOP|LIKE|LET|WHY|WILD|BREAKOUT|PULLBACK|HAD
2026-02-02,2/2/2026 19:00,2/3/2026 19:00,AMD,64,27,7,30,0.421875,0.109375,0.3125,0.1382463595668417,0.4,0.0,0.4,0.4,4,NVDA,1.0,37,9,5,1,AMD|EARNINGS|AFTER|BEAT|WHAT|HTTPS|WWW|COM|MUCH|THINK|REALLY|ALL
2026-02-02,2/2/2026 19:00,2/3/2026 19:00,NVDA,121,45,7,69,0.371900826,0.05785124,0.3140495867768595,0.293815653,1.0,0.1875,0.8125,0.6944444444444444,15,TSLA,0.8,67,8,8,1,NVIDIA|LIKE|STOCK|EARNINGS|NVDA|HTTPS|NOW|BUY|ALL|HAS|CHIPS|OPEN
2026-02-02,2/2/2026 19:00,2/3/2026 19:00,TSLA,138,44,25,69,0.3188405797101449,0.18115942,0.1376811594202898,0.1670290463923958,0.3636363636363636,-0.135135135,0.4987714987714988,0.4987714987714988,4,SMCI,1.0,76,5,15,0,TESLA|XAI|SPACEX|ALL|ELON|MUSK|WHAT|NOW|EPSTEIN|NEWS|MERGER|HTTPS
2026-02-03,2/3/2026 0:00,2/4/2026 0:00,AAPL,3,2,0,1,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,,0.0,0,1,0,0,FOMO|GOING|MAJOR|NEARS|ESPECIALLY|GAP|BELOW|50DAY|BOUGHT|CALL
2026-02-03,2/3/2026 0:00,2/4/2026 0:00,AMD,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,1,0,0,0,KNOW|HOW|BIG|CPU|SHORTAGE|THERE|TMRW|GLTA|GROWTH|DISCIPLINE
2026-02-03,2/3/2026 0:00,2/4/2026 0:00,NVDA,2,2,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,,0.0,1,0,0,0,WENT|THRU|LAST|YEAR|SHE|BUMPING|AROUND|BROKE
2026-02-03,2/3/2026 0:00,2/4/2026 0:00,TSLA,8,2,0,6,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0,,0.0,5,1,0,0,BORING|COMPANY|TESLA|ALL|ELON|POWERFUL|GROWTH|ENGINES|WANTS|MERGER|TOO|MOTHER
2026-02-04,2/4/2026 12:00,2/4/2026 17:00,AAPL,145,35,18,92,0.2413793103448276,0.1241379310344827,0.1172413793103448,0.1367119778612835,0.2045454545454545,-0.045454545,0.25,0.2208931419457735,5,TSLA,1.0,4,12,18,1,HTTPS|YOUTU|APPLE|HAVE|GET|BUY|ADD|WATCHLIST|BACK|HERE|MARKET|LIKE
2026-02-04,2/4/2026 12:00,2/4/2026 17:00,AMD,336,112,50,174,0.3333333333333333,0.1488095238095238,0.1845238095238095,0.1199154407527404,0.32,0.083333333,0.2366666666666667,0.2366666666666667,22,NVDA,0.8636363636363636,28,30,11,5,AMD|EARNINGS|ALL|NOW|WHAT|CLOSE|PUTS|BUY|GOOD|MARKET|SEE|GET
2026-02-04,2/4/2026 12:00,2/4/2026 17:00,NVDA,265,119,13,133,0.4490566037735849,0.049056604,0.4,0.016702903,0.4126984126984127,0.3793103448275862,0.033388068,0.017636684,11,TSLA,0.4545454545454545,15,9,6,1,CAPEX|NOW|NVIDIA|NVDA|GOOGLE|MARKET|LIKE|BACK|ALL|HAS|HOW|BIG
2026-02-04,2/4/2026 12:00,2/4/2026 17:00,TSLA,204,41,50,113,0.2009803921568627,0.2450980392156862,-0.044117647,0.049824052,0.019607843,-0.075,0.094607843,0.094607843,0,,0.0,11,15,6,0,GOOGLE|WHAT|ELON|ALL|PEDO|HAVE|NOW|OUT|LIKE|GOT|BUY|GOOD
2026-02-06,2/6/2026 12:00,2/6/2026 17:00,AAPL,65,22,3,40,0.3384615384615385,0.046153846,0.2923076923076923,0.1938489417902603,0.4210526315789473,0.0,0.4210526315789473,0.4210526315789473,7,TSLA,0.8571428571428571,1,3,7,0,HTTPS|NEXT|HIGH|APPLE|SEE|GET|MARKET|LAST|HAS|RED|SELL|ALL
2026-02-06,2/6/2026 12:00,2/6/2026 17:00,AMD,88,40,7,41,0.4545454545454545,0.079545455,0.375,0.1585718456546304,0.6,0.2222222222222222,0.3777777777777777,0.2666666666666666,16,NVDA,0.8125,3,7,4,1,NEXT|BACK|STILL|OUT|CLOSE|AMD|MONDAY|HAVE|MOVE|HTTPS|LET|ANOTHER
2026-02-06,2/6/2026 12:00,2/6/2026 17:00,NVDA,261,123,15,123,0.4712643678160919,0.057471264,0.4137931034482758,0.052211374,0.4385964912280701,0.3448275862068966,0.093768905,0.086679263,22,AAPL,0.5454545454545454,9,15,7,2,NEXT|CLOSE|ALL|BACK|MARKET|NVIDIA|LIKE|GOING|SEE|HAVE|WHAT|MONDAY
2026-02-06,2/6/2026 12:00,2/6/2026 17:00,SMX,735,409,41,285,0.5564625850340136,0.055782313,0.5006802721088436,0.044419489,0.5597826086956522,0.4361702127659574,0.1236123959296947,0.068329617,5,NVDA,0.8,4,10,10,8,NEXT|HERE|RUN|SMX|SHORTS|NOW|BIG|LET|TIME|IBG|GOING|LAST
2026-02-06,2/6/2026 12:00,2/6/2026 17:00,TSLA,142,36,32,74,0.2535211267605634,0.2253521126760563,0.028169014,0.1159944891712368,0.1739130434782608,-0.056338028,0.2302510716472749,0.2302510716472749,0,,0.0,1,6,10,3,HTTPS|TIME|ALL|BUY|COM|BEFORE|GETTING|WATCH|STILL|LIKE|COMING|WORLD
2026-02-07,2026-02-07 11:00,2026-02-07 15:00,AAPL,6,2,0,4,0.3333333333333333,0.0,0.3333333333333333,0.5773502691896257,1.0,0.0,1.0,1.0,0,,0.0,1,0,1,0,SHARE|AAPL|COMPLETELY|IMMUNE|MARKET|WILD|VOLATILITY|MOMENTUM|UPDATE|ANALYST|TARGETS|HAYDENGOLDING
2026-02-07,2026-02-07 11:00,2026-02-07 15:00,AMD,22,8,0,14,0.3636363636363636,0.0,0.3636363636363636,0.2512777265651864,0.6,0.0,0.6,0.6,2,NVDA,0.5,1,2,3,0,NEXT|DOUBLE|HTTPS|SHARE|HAS|SEE|LISA|LONG|TOP|PALANTIR|KEEP|YOUTU
2026-02-07,2026-02-07 11:00,2026-02-07 15:00,NVDA,40,12,1,27,0.3,0.025,0.275,0.2551176865950407,0.6,0.0714285714285714,0.5285714285714286,0.4333333333333333,9,TSLA,0.7777777777777778,1,3,3,0,MARKET|MONDAY|HTTPS|HOW|STOCK|TECH|SUPER|GOT|HUGE|HAND|SURE|NEXT
2026-02-07,2026-02-07 11:00,2026-02-07 15:00,OPENAI,2,0,1,1,0.0,0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,0,,0.0,0,0,0,0,HAVE|AFFILIATION|SCAMMED|ICO|ANY|WHY|JOKE|WHEN|PPL|SAY
2026-02-07,2026-02-07 11:00,2026-02-07 15:00,TSLA,46,13,9,24,0.2826086956521739,0.1956521739130435,0.0869565217391304,0.4418397338153957,0.3333333333333333,-0.6,0.9333333333333332,0.9333333333333332,0,,0.0,1,3,3,2,TESLA|GOOD|HOW|SELL|HTTPS|COM|WHAT|LIKE|ALL|YEAR|TAXI|EXPANSION
